title,project_description,keywords,gse,bioproject_id,bioproject_id_cohort,notes,timepoints,time_type,doses,human_disease,human_atlas,human_dataset,vaccine_type,pathogen_type,target_pathogen,target_antigen,viral_vector,adjuvanted,sample_source,administration_route,sequencing,organism_name
Study of visceral leishmaniasis establishment - Gene expression from (un)infected (non-)vaccinated mouse spleen samples,"Visceral leishmaniasis (VL) caused by Leishmania donovani and L. infantum is a potentially fatal disease. To date there are no registered vaccines for disease prevention despite the fact that several vaccines are in preclinical development. Thus, new strategies are needed to improve vaccine efficacy based on a better understanding of the mechanisms mediating protective immunity and mechanisms of host immune responses subversion by immunopathogenic components of Leishmania. In the present study, determination of the immune mechanisms related to infection or protective immune responses against VL using an experimental nanovaccine as a vaccine model was conducted through microarray analysis. Overall design: For the 5 different conditions (4/16-weeks post challenge vaccinated/non-vaccinated mice and naïve, uninfected control mice), 10 samples were analyzed. Experiments were conducted in biological duplicate.","leishmania donovani and infantum, spleen, nanovaccine",GSE134661,556008,556008_infantum,NA,4//16,,,Yes,No,,Nanovaccine,protozoa,Leishmania infantum,CPA162-189-loaded p8-PLGA nanoparticles,NA,NA,Spleen,?,Microarray,Mus musculus
Early dendritic cell molecular signature modelling predicts late vaccine-induced adaptive T-cell responses (Illumina),"Mice were vaccinated with different Lentivirus vector-plaforms or PBS. Transcriptomes of sorted dendritic cells 6 hours after vaccination were used to build a model predictive of the vector-platform efficacy measured as the antigen-specific response 5, 7 and 10 days after the vaccination Overall design: Groups of 7-week-old female C57BL/6 mice (Charles River, France and Germany) were immunized either intravenously or sub-cutaneously with a controlled quantity of vector particles as defined in CompuVac assay protocols (www.compuvac.eu). Control mice were injected with 100 µL of phosphate buffered saline solution (PBS).",lentivirus,GSE66797,278648,,,5//7//10,Day,,Yes,No,,Viral vector,virus,Lentivirus vectors,,Lentivirus,NA,Spleen (dendritic cells),Intravenous//Subcutaneous,Microarray,Mus musculus
Gene expression in Listeria- or vaccine-elicited T cells,"B6 mice were immunized with either 2000 cfu  of ova expressing Listeria monocytogenes (LM-ova) or 100ug whle ovalbumin adjuvanted with 50ug polyIC + 50ug anti-CD40 (FGK45).  7 days later, tetramer staining CD8+ T cells from the spleen were flow sorted to purity (~98%), the RNA isolated, reverse transcribed and the resulting cDNA analyzed by gene array MoGene-1_0-st-v1 gene expression determined in naïve (CD44lo) and day 7 post Listeria chalelneg  or combined adjuvant vaccine immunization (internally referred to as ""synergy""). Overall design: Gene expression profiling of CD44lo T cells (naïve), d7 tetramer staining CD8+ T cells from Listeria-treated or vaccine-treated B6 mice.","listeria, ova",GSE112741,448893,,NA,7,Day,,Yes,No,,NA,bacteria,Listeria,OVA,NA,NA,NA,?,Microarray,Mus musculus
NA,"In two disparate models, we show that rapid revaccination following sublethal gamma radiation exposure rescues memory CD8+ T cell Responses. Overall design: To investigate the mechanism of rescue we performed RNA microarray analyses to identify whether there was a genetic “signature” of rescue.  mRNA was obtained from whole spleens 6 hrs after revaccination with LM-DActA at D1 and D4 PI for RNA microarray analysis","listeria,",GSE64434,271035,,NA,6,Hour,,Yes,No,,NA,bacteria,Listeria,OVA,NA,NA,NA,?,Microarray,Mus musculus
Vaccination accelerates hepatic erythropoiesis induced by blood-stage malaria,"Increasing evidence suggests the liver as to be an effector against blood-stage malaria. Vaccination induces changes in the liver and survival of otherwise lethal blood-stage malaria of Plasmodium chabaudi which is associated with changes in the liver. Here, the time-course of expression of erythroid genes is investigated during infections with P. chabaudi in the liver of vaccination-protected and unprotected non-vaccinated mice. Overall design: Female Balb/c mice were vaccinated with a non-infectious vaccine at week 3 and week 1 before challenging with 106 P. chabaudi-parasitized erythrocytes. Gene expression microarrays and quantitative real-time PCR were used to compare mRNA expression of erythroid genes in the liver of vaccinated and non-vaccinated mice at different phases of infections on days 0, 1, 4 , 8, 11 p.i.. 30 samples were analyzed: Nd0, Non-vaccinated day 0, 3 replicates Nd1, Non-vaccinated day 1, 3 replicates Nd4, Non-vaccinated day 4, 3 replicates Nd8, Non-vaccinated day 8, 3 replicates Nd11, Non-vaccinated day 11, 3 replicates Vd0, Vaccinated day 0, 3 replicates Vd1, Vaccinated day 1, 3 replicates Vd4, Vaccinated day 4, 3 replicates Vd8, Vaccinated day 8, 3 replicates Vd11, Vaccinated day 11, 3 replicates",malaria,GSE129133,530224,,NA,0//1//4//8//11,Day,,Yes,No,?,Infection,protozoa,Malaria,Challenge in vaccinated and non-vaccinated,NA,Freund,Liver,Subcutaneous,Microarray,Mus musculus
B cell intrinsic TBK1 is essential for germinal center formation during infection and vaccination,"Germinal center (GC) is a site where somatic hypermutation and clonal selection are coupled for antibody affinity maturation against infections. However, how GCs are formed and regulated is incompletely understood. Here, we identified an unexpected role of Tank-binding kinase-1 (TBK1) as a crucial B-cell-intrinsic factor for GC formation. Using immunization and malaria infection models, we show that TBK1-deficient B cells failed to form GC despite normal Tfh differentiation, although some malaria-infected B-cell-specific TBK1-deficient mice could survive by GC-independent mechanisms. Mechanistically, TBK1 phosphorylation elevates in B cells during GC differentiation and regulates the balance of IRF4/BCL6 expression by limiting CD40 and BCR activation through non-canonical NF-κB and AKTT308 signaling. In the absence of TBK1, CD40 and BCR signaling synergistically enhanced IRF4 expression in Pre-GC leading to BCL6 suppression, therefore failed to form GC. As a result, memory B cells generated from TBK1-deficient B cells fail to confer sterile immunity upon re-infection, suggesting that TBK1 determines B cell fate to promote long-lasting humoral immunity. Overall design: mRNA profiles of wild-type Pre-GC B cells and Tbk1-deficient Pre-GC B cells were generated by RNA sequencing using Illumina Novaseq 6000",malaria,GSE188659,779866,,NA,NA,,,Yes,No,?,NA,protozoa,Malaria,NIP-OVA,NA,Alum,Germinal center (B cells),?,Bulk,Mus musculus
Genome-wide analysis of gene expression in lymph nodes and vaccination site in mice vaccinated with adenovirus and MVA mixed formulations,"Gene expression analysis in lymph nodes and site of injection (intradermal) after vaccination with adenovirus (Ad), modified vaccinia Ankara (MVA) or a mixed formulation of Ad+MVA. The hypothesis tested in the present study was that co-administration of two viral vectors induce a differential gene expression in the site of vaccination (dermis) and the draining lymph nodes that ultimately influences the protective ability of a vaccine against pre-erythrocytic malaria. Overall design: Total RNA was isolated from the vaccination site (dermis) and lymph nodes after vaccination with adenovirus, MVA or Ad+MVA mixed co-administration after 6h and 24h (ear biopsies) and 9h, 24h and 72h for lymph nodes. Differential gene expression was assessed between vaccinated and non-immunized mice. Four ear biopsy samples did not pass quality control, and are not included in this submission.","adenovirus, mva, malaria, bulk, lymph nodes",GSE30564,143357,143357_Ad,NA,6//9//24//72,Hour,,Yes,No,?,Viral vector,protozoa,Malaria,None,Ad,NA,Lymph node,Intradermal,Microarray,Mus musculus
Genome-wide analysis of gene expression in lymph nodes and vaccination site in mice vaccinated with adenovirus and MVA mixed formulations,"Gene expression analysis in lymph nodes and site of injection (intradermal) after vaccination with adenovirus (Ad), modified vaccinia Ankara (MVA) or a mixed formulation of Ad+MVA. The hypothesis tested in the present study was that co-administration of two viral vectors induce a differential gene expression in the site of vaccination (dermis) and the draining lymph nodes that ultimately influences the protective ability of a vaccine against pre-erythrocytic malaria. Overall design: Total RNA was isolated from the vaccination site (dermis) and lymph nodes after vaccination with adenovirus, MVA or Ad+MVA mixed co-administration after 6h and 24h (ear biopsies) and 9h, 24h and 72h for lymph nodes. Differential gene expression was assessed between vaccinated and non-immunized mice. Four ear biopsy samples did not pass quality control, and are not included in this submission.","adenovirus, mva, malaria, bulk, lymph nodes",GSE30564,143357,143357_MVA,NA,6//9//24//72,Hour,,Yes,No,,Viral vector,protozoa,Malaria,None,MVA,NA,Lymph node,Intradermal,Microarray,Mus musculus
Comparison of whole blood transcriptional changes induced by menignoccocal capsular group B vaccines in mice,"Whole blood RNA-seq was leveraged to explore gene expression changes induced in mice 24 hours after immunisation with a second dose of a licensed vaccine against capsular group B meningococcus, one of the vaccines components, or one of several comparator groups. Overall design: mRNA was profiled from RNA extracted from mouse whole blood, 3-6 samples per group, using an Illumina HiSeq4000","whole blood, meningococcus B, polysaccharide,",GSE139529,580190,580190_Ad,NA,"Prime-boost for 8 weeks (D28), 24h post final dose of vaccine",,,Yes,Yes,MSigDB//13Vax,Viral vector,bacteria,Meningococcus B,fHbp,Ad,No,Blood,Intramuscular,Bulk,Mus musculus
Comparison of whole blood transcriptional changes induced by menignoccocal capsular group B vaccines in mice,"Whole blood RNA-seq was leveraged to explore gene expression changes induced in mice 24 hours after immunisation with a second dose of a licensed vaccine against capsular group B meningococcus, one of the vaccines components, or one of several comparator groups. Overall design: mRNA was profiled from RNA extracted from mouse whole blood, 3-6 samples per group, using an Illumina HiSeq4000","whole blood, meningococcus B, polysaccharide,",GSE139529,580190,580190_MVA,NA,"Prime-boost for 8 weeks (D28), 24h post final dose of vaccine",,,Yes,Yes,MSigDB//13Vax,Viral vector,bacteria,Meningococcus B,fHbp,MVA,No,Blood,Intramuscular,Bulk,Mus musculus
Identification of Biomarkers of Vaccine Reactogenicity,"Systems vaccinology approaches have been used to successfully define early signatures of the vaccine-induced immune response. However, the possibility that transcriptomics can also predict vaccine reactogenicity has not been fully explored. We have compared four licensed vaccines that have a demonstrated safety profile, as well as three agonists of TLRs that have a known inflammatory potential, to elucidate the transcriptomic profile of an acceptable response to a vaccination versus those which push the inflammatory envelope. In mice, we looked at the transcriptomic changes in the injected muscle, the lymph node that drained the muscle and the PBMC isolated from the circulating blood from the very early timepoint of 4 hours to over the period of one week. A detailed examination and comparative analysis of the transcriptome from each of these tissues, at all the timepoints of 4, 8, 24, 48, 72 and 168 hr and with these eight different vaccines, TLR or saline control injections, revealed a set of novel biomarkers that are reflective of inflammation after vaccination. These biomarkers are easily sampled and readily measurable in the peripheral blood, providing a useful tool to predict levels of reactogenicity, as a way to select candidates with acceptable immunogenicity and safety profiles. Overall design: High-quality RNA samples isolated from muscle tissue excised around the injection site, the draining medial iliac lymph nodes (MLN) and total PBMCs of mice at 4, 8, 24, 48, 72, 168 hours after the vaccination were subjected to genome-wide transcriptome analysis.","reactogenicity, pbmcs, different licensed vaccines,",GSE120661,494386,494386_Sub,Reactogenicity,4//8//24//48//72//168,Hour,,Yes,No,No,Multiple,multiple,Multiple,"Pentavac (Diphtheria, tetanus, pertussis (whole cell)//hepatitis B (rDNA)//haemophilus type b conjugate vaccine)",NA,NA,PBMCs,Intramuscular,Bulk,Mus musculus
